HEADING , SCORE , TIME , AUTHOR , LINK
Iceland commemorates first glacier lost to climate change,48 points,1 hour ago,lelf,https://phys.org/news/2019-08-iceland-commemorates-glacier-lost-climate.html
Python vs. Rust for Neural Networks,140 points,5 hours ago,rencire,https://ngoldbaum.github.io/posts/python-vs-rust-nn/
Kaspersky AV injected unique ID allowing sites to track users in incognito mode,289 points,10 hours ago,r0nny,https://heise.de/-4496138
J can look like APL or English,44 points,3 hours ago,paliilap,https://wjmn.github.io/posts/j-can-look-like-apl.html
Start Your Own ISP,416 points,11 hours ago,mahathu,https://startyourownisp.com/
Tech Interview Handbook,332 points,11 hours ago,yangshun,https://yangshun.github.io/tech-interview-handbook/
Netherlands Building Ages,26 points,2 hours ago,Schiphol,https://parallel.co.uk/netherlands/#13.8/52.365/4.9/0/40
Two brothers invented an alphabet for their native language- Fulfulde,30 points,3 hours ago,curtis,https://news.microsoft.com/stories/people/adlam.html?ocid=lock
The Bomb I Took on 30 Flights,4 points,1 hour ago,jhabdas,https://habd.as/post/bomb-took-30-flight/
The Grand C++ Error Explosion Competition,24 points,4 hours ago,rahimiali,https://tgceec.tumblr.com/post/74534916370/results-of-the-grand-c-error-explosion/
Apple will soon treat online web tracking the same as a security vulnerability,191 points,5 hours ago,praveenscience,https://thenextweb.com/privacy/2019/08/16/apple-will-soon-treat-online-web-tracking-the-same-as-a-security-vulnerability/
Model-Based Reinforcement Learning for Atari,22 points,4 hours ago,henning,https://arxiv.org/abs/1903.00374
Plastic Free July,8 points,2 hours ago,sexy_seedbox,https://paulrhayes.com/plastic-free-july/
Ask HN: What book to read to get a footing in CS theory?,16 points,55 minutes ago,bjackman,item?id=20729252
In the US- it's cheaper to build and operate wind farms than buy fossil fuels,67 points,5 hours ago,anandaverma18,https://arstechnica.com/science/2019/08/wind-power-prices-now-lower-than-the-cost-of-natural-gas/
Animal movies promote awareness- not harm- say researchers,88 points,11 hours ago,EndXA,http://www.ox.ac.uk/news/2019-08-14-%E2%80%9C-nemo-effect%E2%80%9D-untrue-animal-movies-promote-awareness-not-harm-say-researchers
The League of Entropy Is Making Randomness Truly Random,66 points,10 hours ago,kiyanwang,https://onezero.medium.com/the-league-of-entropy-is-making-randomness-truly-random-522f22ce93ce
Ruffle – An Adobe Flash Player Written in Rust Compiled to WebAssembly,109 points,7 hours ago,conroy,https://github.com/ruffle-rs/ruffle
General Balanced Trees (1999) [pdf],23 points,6 hours ago,brudgers,http://user.it.uu.se/~arnea/ps/gb.pdf
The History of Polish Photography (2002),7 points,3 hours ago,prismatic,https://culture.pl/en/article/the-history-of-polish-photography
How Life Sciences Actually Work,37 points,7 hours ago,DarkContinent,https://guzey.com/how-life-sciences-actually-work/
Psychology vs. the Graphics Pipeline (2017),54 points,8 hours ago,luu,http://scattered-thoughts.net/blog/2017/12/11/psychology-vs-the-graphics-pipeline/
David Foster Wallace’s Pen Pal,14 points,5 hours ago,apollinaire,https://www.theparisreview.org/blog/2019/08/09/david-foster-wallaces-pen-pal/
HK social media users writing phonetically spelled posts to shut out trolls,106 points,7 hours ago,s_Hogg,https://news.rthk.hk/rthk/en/component/k2/1475264-20190818.htm
Microsoft Has First Major Impact on Chrome,122 points,14 hours ago,adrian_mrd,https://www.thurrott.com/cloud/web-browsers/google-chrome/212361/microsoft-has-first-major-impact-on-chrome
Flying with Miniature Horses,54 points,12 hours ago,aaronbrethorst,https://www.nytimes.com/2019/08/17/travel/mini-horse-service-plane.html
Cephaloponderings,20 points,6 hours ago,lelf,https://putanumonit.com/2019/07/26/cephaloponderings/
The first solar road has turned out to be a disappointing failure,195 points,14 hours ago,prostoalex,https://www.sciencealert.com/the-world-s-first-solar-road-has-turned-out-to-be-a-disappointing-failure
The Software Arts,30 points,10 hours ago,Hooke,https://news.ucsc.edu/2019/08/sack-software-arts.html
Software architects should be involved in earliest system engineering activities,199 points,16 hours ago,runningmike,https://insights.sei.cmu.edu/sei_blog/2019/08/why-software-architects-must-be-involved-in-the-earliest-systems-engineering-activities.html
